Time (s)	repeat #	Applied voltage (V)	Current (A)	Absolute current (A)	Resistance (Ohm)
470.741	1	0.2	2.50398E-7	2.50398E-7	798729.70028
471.961	1	0	-1.03292E-10	1.03292E-10	0
472.282	1	-1	-1.77873E-7	1.77873E-7	5.622E6
472.603	1	0	2.88383E-10	2.88383E-10	0
472.928	1	0.2	2.50451E-7	2.50451E-7	798558.12345
474.149	1	0	-1.02075E-10	1.02075E-10	0
474.47	1	-1	-1.79437E-7	1.79437E-7	5.57299E6
474.792	1	0	2.83349E-10	2.83349E-10	0
475.118	1	0.2	2.50479E-7	2.50479E-7	798470.13123
476.34	1	0	-1.03166E-10	1.03166E-10	0
476.659	1	-1	-1.82685E-7	1.82685E-7	5.4739E6
476.984	1	0	2.84985E-10	2.84985E-10	0
477.301	1	1	0.01094	0.01094	91.39648
597.901	1	1	0.01094	0.01094	91.39932
598.225	1	0	-3.75255E-10	3.75255E-10	0
598.744	1	-1	-2.23075E-6	2.23075E-6	448280.53037
599.256	1	0	6.60794E-11	6.60794E-11	0
599.681	1	-2	-3.50112E-5	3.50112E-5	57124.52833
601.102	1	0	5.65433E-10	5.65433E-10	0
601.525	1	-1	-4.85416E-7	4.85416E-7	2.06009E6
601.848	1	0	4.37018E-10	4.37018E-10	0
602.172	1	-2	-3.16707E-5	3.16707E-5	63149.75174
603.587	1	0	6.41744E-10	6.41744E-10	0
604.009	1	-1	-3.43584E-7	3.43584E-7	2.91049E6
604.333	1	0	4.85012E-10	4.85012E-10	0
604.658	1	-2	-2.93958E-5	2.93958E-5	68036.86101
606.071	1	0	6.63811E-10	6.63811E-10	0
606.496	1	-1	-2.87456E-7	2.87456E-7	3.47879E6
606.822	1	0	5.08882E-10	5.08882E-10	0
607.147	1	-2	-2.84425E-5	2.84425E-5	70317.20796
608.561	1	0	6.7325E-10	6.7325E-10	0
608.988	1	-1	-2.50558E-7	2.50558E-7	3.99109E6
609.314	1	0	5.20377E-10	5.20377E-10	0
609.638	1	-2	-2.74093E-5	2.74093E-5	72967.80113
611.05	1	0	6.9045E-10	6.9045E-10	0
611.472	1	-1	-2.21023E-7	2.21023E-7	4.52441E6
611.796	1	0	5.31034E-10	5.31034E-10	0
612.121	1	-2	-2.66264E-5	2.66264E-5	75113.39306
613.529	1	0	6.81724E-10	6.81724E-10	0
613.959	1	-1	-2.03863E-7	2.03863E-7	4.90525E6
614.284	1	0	5.35312E-10	5.35312E-10	0
614.608	1	-2	-2.55661E-5	2.55661E-5	78228.59177
616.022	1	0	6.98589E-10	6.98589E-10	0
616.446	1	-1	-1.89105E-7	1.89105E-7	5.28807E6
616.771	1	0	5.42654E-10	5.42654E-10	0
617.097	1	-2	-2.50919E-5	2.50919E-5	79707.02884
618.509	1	0	7.01819E-10	7.01819E-10	0
618.932	1	-1	-1.82234E-7	1.82234E-7	5.48746E6
619.258	1	0	5.45632E-10	5.45632E-10	0
619.584	1	-2	-2.4748E-5	2.4748E-5	80814.67659
620.999	1	0	7.11762E-10	7.11762E-10	0
621.413	1	-1	-1.72411E-7	1.72411E-7	5.80011E6
621.738	1	0	5.57798E-10	5.57798E-10	0
622.064	1	-2	-2.45424E-5	2.45424E-5	81491.55625
623.484	1	0	7.08951E-10	7.08951E-10	0
623.904	1	-1	-1.67637E-7	1.67637E-7	5.96528E6
624.229	1	0	5.58218E-10	5.58218E-10	0
624.555	1	-2	-2.3876E-5	2.3876E-5	83766.01973
625.969	1	0	7.14111E-10	7.14111E-10	0
626.392	1	-1	-1.6006E-7	1.6006E-7	6.24767E6
626.717	1	0	5.49533E-10	5.49533E-10	0
627.041	1	-2	-2.34999E-5	2.34999E-5	85106.78135
628.447	1	0	6.95149E-10	6.95149E-10	0
628.88	1	-1	-1.54048E-7	1.54048E-7	6.49149E6
629.203	1	0	5.55407E-10	5.55407E-10	0
629.527	1	-2	-2.20139E-5	2.20139E-5	90851.7717
630.941	1	0	7.18054E-10	7.18054E-10	0
631.364	1	-1	-1.51875E-7	1.51875E-7	6.58434E6
631.688	1	0	5.62245E-10	5.62245E-10	0
